manufacturer,part #,speed,type,modules,price / gb,color,cas latency,voltage,timing,ecc / registered,heat spreader,prices,rating,reviews
oloy,md4u083618beda,ddr4-3600,288-pin dimm,2 x 8gb,,black / white,18,1.35 v,18-20-20-40,non-ecc / unbuffered,yes,,"(1 Rating, 5.0 Average)","Most cooperative high-speed DDR4 I have yet installed. Some credit must be for the motherboard, but a relatively obscure brand like this deserves a bump for nice work."
corsair,cmv8gx3m2a1600c11,ddr3-1600,240-pin dimm,2 x 4gb,$4.999,green,11,1.5 v,11-11-11-30,non-ecc / unbuffered,no,"$39.99,$41.89","(6 Ratings, 4.2 Average)",
g.skill,f4-3000c16q-32gsxfb,ddr4-3000,288-pin dimm,4 x 8gb,$4.062,black / camo,16,1.35 v,16-18-18-38,non-ecc / unbuffered,yes,"$129.99,$150.06",(0 Ratings),
corsair,cmk4gx4m1a2400c14r,ddr4-2400,288-pin dimm,1 x 4gb,$5.997,red,15,1.2 v,15-15-15-36,non-ecc / unbuffered,yes,"$23.99,$24.99,$24.99","(2 Ratings, 5.0 Average)","Love the low-profile design and it didn't cost me a lot.,RAM looks nice and I had no problems getting it to run 2400 mhz right out of the box. Can't complain. "
crucial,ble2k8g4d40beeak,ddr4-4000,288-pin dimm,2 x 8gb,$11.821,black,18,1.35 v,18-19-19-39,non-ecc / unbuffered,yes,"$189.13,$233.49,$274.99",(0 Ratings),
g.skill,f4-3200c14d-16gvr,ddr4-3200,288-pin dimm,2 x 8gb,$7.499,red,14,1.35 v,,non-ecc / unbuffered,yes,"$119.99,$229.00","(2 Ratings, 5.0 Average)","Runs fast and looks much better in person than online(more of a ""metallic"" red color). ,Outstanding kit. I didn't go out of my way to get Samsung B-die memory, but I picked up the most affordable color-matching 3200 MHz kit that was on the motherboard QVL, and it ended up being B-die. Great looking. VERY tight timings. I was easily able to reach the rated speed of 3200 MHz by enabling the XMP profile, with both the first-gen Ryzen 5 1600 and the Ryzen 3 2200G. I could probably overclock it to a higher frequency or tune the timings even tighter, but I'm not sure it's worth the effort when I'm already at 3200 and CL14. Expensive, but totally worth it, especially since first-gen Ryzen loves fast memory."
g.skill,f4-3866c19q2-128gtzkk,ddr4-3866,288-pin dimm,8 x 16gb,,black / white,19,1.35 v,19-19-19-39,non-ecc / unbuffered,yes,,(0 Ratings),
g.skill,f4-3200c14q-64gtzn,ddr4-3200,288-pin dimm,4 x 16gb,,silver / black,14,1.35 v,14-14-14-34,non-ecc / unbuffered,yes,,(0 Ratings),
g.skill,f4-3600c16q-64gtzr,ddr4-3600,288-pin dimm,4 x 16gb,$9.234,black,16,1.35 v,16-16-16-36,non-ecc / unbuffered,yes,"$590.99,$682.10",(0 Ratings),
g.skill,f4-3200c14q-64gtrg,ddr4-3200,288-pin dimm,4 x 16gb,,gold,14,1.2 v,14-14-14-34,non-ecc / unbuffered,yes,,(0 Ratings),
